standard_label	predict
A	A;D
A	A
A;B	D;B
A	D;E
A	D
A;B	
A	B
A	A
A	A
B	B
A;B	A
F	
D	D
D	
E	
B;D	B
A	A
B;E	E;D
B	E
A;B	F
B	B;A
A	D;A
A	A
D	D
D	B
A;B	B;A
E	E;B
B	B
A;B	A
B	B;A
B	B;A
A;B	A
D;E	D;B
E	E
B	B;A
B	B;D
B	B
B	D
B	B
B	B
B;E	E;B
B	E
B	
A	A;B
A	A;D
A	A
A	A
D	D
D	A
B	B;D
B	B
A;B	B;A
A	
A;B;F	F;B
B	B
A;B	B;A
B	B
A;B	B;A
A	A
B	A
A;B	A;B
B	B;A
B	B
A	A
D	B
A;B	B;A
B;D	B
A;B	B
A	A
B	B
A;B	A
B	F
B;E	B
A;B	B
A;B	A
A	A
A;B	B;A
F	F;B
B	D
B	B
A;D	D
B	B
A	A
B	B
B	B;A
E	B
D;E	E
E	A;B
B	B;A
A	A
B	B;A
A	D
B	B
E	B
B	
E	E
B	B
B;D;F	D;B
A	
A	A
B	B;D
B	B
A;B	B;A
A	A
A;B	D;A;B
F	F
D	D
A	B
B	E
A	A
A	D
A	A
A	B
A;D	D
A	
A;D	D
A	E;B
A	A;D
A	A
B	A
A	A
A;B	B;A
A	A
B	B;A
B	B;D
A;B	B;D
B	B
A	A
A;B	B
E	E
B	B
B;D;E;F	B;D;A
B	B
B	B
A;B	A;B
E	E
B	B
A	A
B	B
B	B
B	B
B	B
B	B
B;D	A
A	A;B
A;B	A;B
D	A;D
B;D;E	B
B;E	A
E	E;A
B	B;A
F	B
A	A
A;B	A;D
B	B
B	B
F	F;B
B	B
A	B;A
E	E;A
F	B;F
A;B	B
A	A
D	D
F	B
B	B
B	B
A;B	A;B
A	B;A
B;D	D;A
B	B
B	B;D
A;B	A;B
B	B;A
B	D
B	B;D
B;D	B;D
B;D	B;D;F
B;D	B;D
B	B
D	A;D
B;D	B
A;F	F;A
B	B;D
B	B
B;F	B;F
B	B
F	F
B	B;A
B	B
B	B;F
B	B
B	B
B;E	B;A
B	D;B
D	B
A	A
A	A
B	B
A	D;A
B	D
D	B
A;B	B;A
F	F
A;B	A
F	A;B
A	A;B
F	A;B
F	F;B;A
B;E	B
B	A
A;B;E	E;B;A
A;F	F;A
A	A
A;B;D	A;B
A;B	A;B
B	B
F	A
A;B	A;B
E	B;E
B	B
B	B
A;B;D	D;F;A;B
F	A
A;B;E	D;B;A
A	D
B	B;A
B;D	D;B
B	B
B	B
A;B	B
D	B;D
B	B
A;B	B;A
B;D	B
B;D	A;D
B	
D	
B	A
A;B	B
B	B
A;B	B;A
D	A
A;B	A;B
A;B	A;D;B
A;B;D	D;A
A	A
B	B
A;B	A
B	B;D
